label|ltable_id|rtable_id|possible_year.x|possible_year.y|short_words_removed.x|short_words_removed.y|fuzzy_similarity|fuzzy_similarity_sorted_tokens|fuzzy_similarity_partial_ratio|len_tokens_x|len_tokens_y|len_common_tokens|common_to_smaller_ratio|common_to_longer_ratio
0|2031|1408|2003|2001|buffering accesses memory resident index structures jingren zhou kenneth ross vldb|efficient index structures for string databases tamer kahveci ambuj singh very large data bases|47|51|48|13|15|2|0.15384615384615385|0.13333333333333333
0|1496|1831|1997|1997|secure transaction processing firm real time database systems binto george jayant haritsa sigmod conference|revisiting commit processing distributed database systems ramesh gupta jayant haritsa krithi ramamritham international conference management data|56|56|60|16|19|7|0.4375|0.3684210526315789
0|135|1441|1995|1995|semint system prototype for semantic integration heterogeneous databases wen syan chris clifton sigmod conference|scalable architecture for autonomous heterogeneous database interactions very large data bases steven milliner athman bouguettaya mike papazoglou|44|55|48|17|19|3|0.17647058823529413|0.15789473684210525
0|1656|910|2001|2002|mining system audit data opportunities and challenges wei fan wenke lee sigmod record|amicalola report database and information systems research challenges and opportunities semantic web and enterprises amit sheth robert meersman acm sigmod record|51|55|55|13|20|5|0.38461538461538464|0.25
0|1475|1909|2001|"252|1997"|sit real life spatio temporal information system stefano francisci rossella molinaro orietta gargano mario paolucci leonardo tininini giuseppe sindoni paola patteri amedea ambrosetti pina ticca cristina bedeschi vldb|environmental information systems oliver nther acm sigmod record|34|34|56|31|9|1|0.1111111111111111|0.03225806451612903
0|1690|1640|2002|1994|partial results for online query processing joseph hellerstein vijayshankar raman sigmod conference|sequence query processing praveen seshadri miron livny raghu ramakrishnan international conference management data|49|54|53|13|15|3|0.23076923076923078|0.2
1|424|1813|1997|1997|beyond market baskets generalizing association rules correlations rajeev motwani sergey brin craig silverstein sigmod conference|beyond market baskets generalizing association rules correlations international conference management data sergey brin rajeev motwani craig silverstein|74|85|71|16|20|15|0.9375|0.75
0|2562|1409|2000|2001|tracing the lineage view data warehousing environment acm trans database syst janet wiener yingwei cui jennifer widom|lineage tracing for general data warehouse transformations yingwei cui jennifer widom very large data bases|55|68|54|21|14|7|0.5|0.3333333333333333
0|1086|342|2002|2001|editorial vldb peter apers stefano ceri richard snodgrass|editorial richard snodgrass acm transactions database systems tods|43|58|45|12|9|3|0.3333333333333333|0.25
0|2313|1042|1998|1996|mining fuzzy association rules databases ada wai chee man hon wong chan man kuok sigmod record|new sql like operator for mining association rules very large data bases rosa meo giuseppe psaila stefano ceri|48|52|54|17|19|3|0.17647058823529413|0.15789473684210525
0|817|256|1999|2001|query optimization the presence limited access patterns dan suciu ioana manolescu daniela florescu alon levy sigmod conference|minimization tree pattern queries sihem amer yahia sungran cho laks lakshmanan divesh srivastava international conference management data|43|54|46|20|21|2|0.1|0.09523809523809523
0|385|304|1999|2001|query optimization for selections using bitmaps ming chuan sigmod conference|query optimization compressed database systems zhiyuan chen johannes gehrke flip korn international conference management data|50|46|54|11|18|3|0.2727272727272727|0.16666666666666666
0|1645|927|2000|2003|reminiscences influential papers christos papadimitriou anant jhingran yannis ioannidis kenneth ross sigmod record|reminiscences influential papers kenneth ross acm sigmod record|67|70|68|17|10|9|0.9|0.5294117647058824
1|774|826|1999|1999|user defined table operators enhancing extensibility for ordbms vldb bernhard mitschang michael jaedicke|user defined table operators enhancing extensibility for ordbms michael jaedicke bernhard mitschang very large data bases|82|90|84|13|16|12|0.9230769230769231|0.75
0|1717|220|1999|1999|distance browsing spatial databases hanan samet sli hjaltason acm trans database syst|selectivity estimation spatial databases swarup acharya viswanath poosala sridhar ramaswamy international conference management data|49|51|55|15|17|3|0.2|0.17647058823529413
0|1228|1083|2001|1997|answering xml queries heterogeneous data sources ioana manolescu donald kossmann daniela florescu vldb|describing and using query capabilities heterogeneous sources vasilis vassalos yannis papakonstantinou very large data bases|54|53|57|14|16|3|0.21428571428571427|0.1875
0|644|1479|1994|1995|index configuration object oriented databases elisa bertino vldb|cost model for clustered object oriented databases very large data bases georges gardarin jean robert gruser zhao hui tang|47|47|59|10|20|3|0.3|0.15
0|1160|526|1998|2002|reminiscences influential papers meral zsoyoglu philip nick roussopoulos krithi ramamritham alberto mendelzon richard snodgrass laura haas jennifer widom jan paredaens sigmod record|influential papers ken ross acm sigmod record|36|36|58|30|7|4|0.5714285714285714|0.13333333333333333
0|2601|226|2002|1998|reminiscences influential papers sigmod record kaladhar voruganti renÃ miller kenneth ross flip korn|reminiscences influential papers richard snodgrass acm sigmod record|59|65|69|17|9|6|0.6666666666666666|0.35294117647058826
1|2416|976|1998|1998|filtering with approximate predicates hector garcia molina narayanan shivakumar chandra chekuri vldb|filtering with approximate predicates narayanan shivakumar hector garcia molina chandra chekuri very large data bases|73|89|76|12|15|11|0.9166666666666666|0.7333333333333333
0|2037|817|1996|1999|sql query optimization reordering for general class queries sigmod conference piyush goel balakrishna iyer|probabilistic optimization top queries donko donjerkovic raghu ramakrishnan very large data bases|48|52|49|17|14|3|0.21428571428571427|0.17647058823529413
1|441|1363|2000|2000|hierarchical compact cube for range max queries hua gang sin yeung lee tok wang ling vldb|hierarchical compact cube for range max queries sin yeung lee tok wang ling hua gang very large data bases|80|89|84|17|20|16|0.9411764705882353|0.8
0|644|1254|1994|1999|index configuration object oriented databases elisa bertino vldb|opt object oriented implementation for extensible database query optimization the vldb journal the international journal very large data bases navin kabra david dewitt|39|40|54|10|24|4|0.4|0.16666666666666666
0|2185|1946|1996|1996|further improvements integrity constraint checking for stratifiable deductive databases sin yeung lee tok wang ling vldb|implementing deductive databases mixed integer programming colin bell anil nerode raymond subrahmanian acm transactions database systems tods|41|52|43|17|23|3|0.17647058823529413|0.13043478260869565
0|107|1334|1999|2001|hierarchical prefix cubes for range sum queries vldb chee yong chan yannis ioannidis|dynamic update cube for range sum queries very large data bases seok chun chin wan chung hong lee seok lyong lee|54|47|58|14|20|4|0.2857142857142857|0.2
0|2414|2045|1995|2003|hypergraph based reorderings outer join queries with complex predicates sigmod conference gautam bhargava balakrishna iyer piyush goel|factorizing complex predicates queries exploit indexes surajit chaudhuri prasanna ganesan sunita sarawagi international conference management data|42|52|44|19|20|5|0.2631578947368421|0.25
0|229|1609|1994|1995|the aditi deductive database system kotagiri ramamohanarao david kemp jayen vaghani tim leask james harland peter stuckey zoltan somogyi vldb|space optimization deductive databases divesh srivastava sudarshan raghu ramakrishnan jeffrey naughton acm transactions database systems tods|45|49|45|23|20|3|0.15|0.13043478260869565
0|1985|1630|1996|1994|static detection security flaws object oriented databases keishi tajima sigmod conference|unisql unified relational and object oriented database system won kim international conference management data|53|57|59|13|17|4|0.3076923076923077|0.23529411764705882
0|688|1938|1997|1995|strudel web site management system alon levy mary fernandez jaewoo kang daniela florescu dan suciu sigmod conference|using the calanda time series management system werner dreyer angelika kotz dittrich duri schmidt international conference management data|51|53|56|20|19|3|0.15789473684210525|0.15
0|175|680|2002|2002|tree pattern query minimization divesh srivastava sungran cho laks lakshmanan sihem amer yahia vldb|efficient algorithms for minimizing tree pattern queries prakash ramanan international conference management data|43|50|44|17|15|2|0.13333333333333333|0.11764705882352941
0|341|822|1994|1999|implementation magic sets relational database system sigmod conference inderpal singh mumick hamid pirahesh|efficiently implementing schemasql sql database system laks lakshmanan fereidoon sadri subbu subramanian very large data bases|50|46|54|16|21|2|0.125|0.09523809523809523
0|1530|26|2001|1999|robust optimization based approach for approximate answering aggregate queries vivek narasayya gautam das surajit chaudhuri sigmod conference|the aqua approximate query answering system swarup acharya phillip gibbons viswanath poosala sridhar ramaswamy international conference management data|43|52|44|20|21|4|0.2|0.19047619047619047
0|1511|220|2002|1999|selectivity estimation for spatio temporal queries moving objects yong jin choi chin wan chung sigmod conference|selectivity estimation spatial databases swarup acharya viswanath poosala sridhar ramaswamy international conference management data|50|50|52|17|17|3|0.17647058823529413|0.17647058823529413
0|690|1906|2001|1997|supporting containment queries relational database management systems sigmod conference guy lohman david dewitt qiong luo jeffrey naughton chun zhang|integrating modelling systems for environmental management information systems david abel kerry taylor dean kun acm sigmod record|45|48|47|24|17|5|0.29411764705882354|0.20833333333333334
0|1927|1408|2003|2001|vist dynamic index method for querying xml data tree structures wei fan sanghyun park philip haixun wang sigmod conference|efficient index structures for string databases tamer kahveci ambuj singh very large data bases|43|52|47|23|15|4|0.26666666666666666|0.17391304347826086
0|2162|1225|2002|2000|foundations preferences database systems werner kieÃling vldb|secure buffering firm real time database systems binto george jayant haritsa the vldb journal the international journal very large data bases|41|41|51|9|22|4|0.4444444444444444|0.18181818181818182
1|1115|1425|1994|1994|towards automated performance tuning for complex workloads michael carey manish mehta miron livny kurt brown vldb|towards automated performance tuning for complex workloads kurt brown manish mehta michael carey miron livny very large data bases|75|91|76|18|21|17|0.9444444444444444|0.8095238095238095
0|1380|745|2003|2002|book review column karl aberer sigmod record|book reviews acm sigmod record karl aberer|65|86|62|7|7|5|0.7142857142857143|0.7142857142857143
0|507|1063|1997|1994|groupwise processing relational queries kenneth ross damianos chatziantoniou vldb|cache conscious algorithms for relational query processing ambuj shatdal chander kant jeffrey naughton very large data bases|44|53|48|11|18|2|0.18181818181818182|0.1111111111111111
0|1829|1915|1994|1997|efficiently instantiating view objects from remote relational databases vldb gio wiederhold byung suk lee|converting relational object oriented databases joseph fong acm sigmod record|48|47|51|15|11|2|0.18181818181818182|0.13333333333333333
0|289|1898|"100|1994"|1996|constructing the next database management systems andreas geppert klaus dittrich sigmod record|the mariposa distributed database management system acm sigmod record jeff sidell|58|64|58|13|11|5|0.45454545454545453|0.38461538461538464
0|20|465|"2001|2002"|"2000|2001"|report the acm fourth international workshop data warehousing and olap dolap joachim hammer sigmod record|report the fourth international conference flexible query answering systems fqas acm sigmod record patrick bosc amihai motro gabriella pasi|53|55|61|16|20|8|0.5|0.4
0|387|650|2002|2002|reminiscences influential papers sigmod record kenneth ross kyuseok shim mary fernandez|influential papers ken ross acm sigmod record|53|62|71|14|7|5|0.7142857142857143|0.35714285714285715
0|1118|1159|1996|"237|1997"|index nesting efficient approach indexing object oriented databases jiawei han beng chin ooi hongjun kian lee tan vldb|exact extensible approach active object oriented databases oscar arturo jaime the vldb journal the international journal very large data bases|56|54|56|23|23|7|0.30434782608695654|0.30434782608695654
0|1251|403|2000|2000|mocha self extensible database middleware system for distributed data sources manuel rodriguez martinez nick roussopoulos sigmod conference|aqr toolkit adaptive query routing middleware for distributed data intensive systems ling liu calton david buttler wei han henrique paques wei tang international conference management data|47|50|50|18|28|5|0.2777777777777778|0.17857142857142858
0|356|1894|1996|1996|the design and implementation sequence database system raghu ramakrishnan miron livny praveen seshadri vldb|the aggregate data problem system for their definition and management rafanelli bezenchek tininini acm sigmod record|42|46|42|16|19|4|0.25|0.21052631578947367
0|21|306|2000|2001|approximating aggregate queries about web pages via random walks vldb jittat fakcharoenphol steve chien ziv bar yossef alexander berg dror weitz|robust optimization based approach for approximate answering aggregate queries surajit chaudhuri gautam das vivek narasayya international conference management data|43|46|48|21|22|2|0.09523809523809523|0.09090909090909091
0|1866|1854|1996|1997|databases and visualization daniel keim sigmod conference|delaunay database visualization system isabel cruz averbuch wendy lucas melissa radzyminski kirby zhang international conference management data|43|46|59|8|23|3|0.375|0.13043478260869565
0|557|2055|2000|2003|closest pair queries spatial databases yannis theodoridis yannis manolopoulos antonio corral michael vassilakopoulos sigmod conference|location based spatial queries jun zhang manli zhu dimitris papadias yufei tao dik lun lee international conference management data|45|47|45|15|21|3|0.2|0.14285714285714285
0|2364|1883|2001|"233|1997"|materialized view selection and maintenance using multi query optimization sigmod conference krithi ramamritham hoshi mistry prasan roy sudarshan|outerjoin simplification and reordering for query optimization acm transactions database systems tods sar galindo legaria arnon rosenthal|50|51|50|19|19|3|0.15789473684210525|0.15789473684210525
0|1106|929|2003|"1|216|248|1997"|adaptive algorithms for set containment joins acm trans database syst hector garcia molina sergey melnik|safe algorithms for symmetric site configurations rune humborstad maitrayi sabaratnam svein olaf hvasshovd ystein torbj rnsen very large data bases|49|46|49|15|20|2|0.13333333333333333|0.1
0|942|2133|2002|2003|book review column karl aberer sigmod record|book reviews acm sigmod record|76|73|63|7|5|3|0.6|0.42857142857142855
0|1972|1945|1998|1996|binding propagation disjunctive databases vldb sergio greco|tail recursion elimination deductive databases acm transactions database systems tods kenneth ross|48|44|60|8|15|2|0.25|0.13333333333333333
0|598|1873|"98|5|1998"|1996|krdb the international workshop knowledge representation meets databases alexander borgida martin staudt vinay chaudhri sigmod record|report first international workshop real time database systems azer bestavros kwei jay lin sang son acm sigmod record|61|62|57|19|19|5|0.2631578947368421|0.2631578947368421
0|1274|950|2001|1997|indexing very high dimensional sparse and quasi sparse vectors for similarity searches vldb xiaoyang sean wang changzhou wang|parallel algorithms for high dimensional similarity joins for data mining applications very large data bases john shafer rakesh agrawal|46|45|48|17|18|5|0.29411764705882354|0.2777777777777778
0|821|94|1998|2000|towards line analytical mining large databases jiawei han sigmod record|turbo charging vertical mining large databases international conference management data pradeep shenoy jayant haritsa sundarshan gaurav bhalotia mayank bawa devavrat shah|41|44|61|12|25|4|0.3333333333333333|0.16
0|420|152|1996|1998|dwms data warehouse management system narendra mohan vldb|the araneus web based management system international conference management data mecca atzeni masci sindoni merialdo|43|38|60|8|19|3|0.375|0.15789473684210525
0|2371|2101|2001|2001|editorial richard snodgrass acm trans database syst|guest editorial amr abbadi gunter schlageter kyu young whang the vldb journal the international journal very large data bases|41|40|51|8|19|1|0.125|0.05263157894736842
0|2562|2119|2000|2003|tracing the lineage view data warehousing environment acm trans database syst janet wiener yingwei cui jennifer widom|lineage tracing for general data warehouse transformations the vldb journal the international journal very large data bases cui widom|49|62|47|21|19|6|0.3157894736842105|0.2857142857142857
0|1777|1599|2000|"233|233|1995"|influence sets based reverse nearest neighbor queries muthukrishnan flip korn sigmod conference|nearest neighbor queries nick roussopoulos stephen kelley ric vincent international conference management data|46|56|51|14|17|5|0.35714285714285715|0.29411764705882354
0|692|1648|1998|1994|repositories and object oriented databases philip bernstein sigmod record|metu object oriented dbms asuman dogac budak arpinar cem evrendilek cetin ozkan ilker altintas ilker durusoy mehmet altinel tansel okay yuksel saygin international conference management data|36|34|49|10|27|2|0.2|0.07407407407407407
0|507|443|1997|2000|groupwise processing relational queries kenneth ross damianos chatziantoniou vldb|congressional samples for approximate answering group queries international conference management data swarup acharya phillip gibbons viswanath poosala|43|41|49|11|21|2|0.18181818181818182|0.09523809523809523
0|1034|1958|2000|1996|optimizing multi feature queries for image databases vldb ulrich ntzer werner kieÃling wolf tilo balke|optimizing queries over multimedia repositories surajit chaudhuri luis gravano international conference management data|49|48|48|16|15|2|0.13333333333333333|0.125
0|1985|1236|1996|2003|static detection security flaws object oriented databases keishi tajima sigmod conference|description logics for semantic query optimization object oriented database systems domenico beneventano sonia bergamaschi claudio sartori acm transactions database systems tods|48|48|59|13|21|3|0.23076923076923078|0.14285714285714285
0|1692|638|1995|"233|1995"|the lyric language querying constraint objects alexander brodsky yoram kornatzky sigmod conference|themis database programming language handling integrity constraints ronique benzaken anne doucet the vldb journal the international journal very large data bases|45|41|48|12|22|2|0.16666666666666666|0.09090909090909091
1|2309|2179|2001|2001|actiview adaptive data presentation using supersql vldb motomichi toyama yoko maeda|actiview adaptive data presentation using supersql yoko maeda motomichi toyama very large data bases|83|87|86|11|13|10|0.9090909090909091|0.7692307692307693
0|661|1044|1997|1996|distance based indexing for high dimensional metric spaces sigmod conference meral zsoyoglu tolga bozkaya|the tree index structure for high dimensional data stefan berchtold daniel keim hans peter kriegel very large data bases|49|48|50|16|21|3|0.1875|0.14285714285714285
0|1829|879|1994|2000|efficiently instantiating view objects from remote relational databases vldb gio wiederhold byung suk lee|efficiently publishing relational data xml documents jayavel shanmugasundaram eugene shekita rimon barr michael carey bruce lindsay hamid pirahesh berthold reinwald very large data bases|42|42|48|15|26|3|0.2|0.11538461538461539
1|1049|242|1996|1996|dbsim simulation tool for predicting database performance craig wong mark stokrp mike lefler sigmod conference|dbsim simulation tool for predicting database performance international conference management data mark lefler mark stokrp craig wong|70|81|70|16|19|14|0.875|0.7368421052631579
0|156|480|"8|2001"|"99|1999"|report the international workshop knowledge representation meets databases krdb dan suciu maurizio lenzerini daniele nardi werner nutt sigmod record|report ngits the fourth international workshop next generation information technologies and systems opher etzion acm sigmod record|61|55|59|21|18|7|0.3888888888888889|0.3333333333333333
0|690|1046|2001|1996|supporting containment queries relational database management systems sigmod conference guy lohman david dewitt qiong luo jeffrey naughton chun zhang|querying multiple features groups relational databases damianos chatziantoniou kenneth ross very large data bases|46|45|50|24|17|2|0.11764705882352941|0.08333333333333333
0|2125|883|2002|2000|efficient schemes for managing multiversionxml documents vldb shu yao chien carlo zaniolo vassilis tsotras|efficient filtering xml documents for selective dissemination information mehmet altinel michael franklin very large data bases|47|48|49|15|18|4|0.26666666666666666|0.2222222222222222
0|2386|1073|1995|1997|data extraction and transformation for the data warehouse cass squire sigmod conference|data warehouse configuration very large data bases dimitri theodoratos timos sellis|47|58|47|11|11|2|0.18181818181818182|0.18181818181818182
0|1232|242|2001|1996|weaving relations for cache performance vldb mark hill anastassia ailamaki david dewitt marios skounakis|dbsim simulation tool for predicting database performance international conference management data mark lefler mark stokrp craig wong|44|51|44|16|19|3|0.1875|0.15789473684210525
0|1721|2049|2003|2003|trex dtd conforming xml xml transformations xueqing gong kun yue aoying zhou zhimao guo jianchang xiao wenfei fan hongwei qing wang shihui zheng sigmod conference|composing xsl transformations with xml publishing views international conference management data chengkai philip bohannon narayan|46|47|47|26|20|3|0.15|0.11538461538461539
0|387|334|2002|1998|reminiscences influential papers sigmod record kenneth ross kyuseok shim mary fernandez|reminiscences influential papers richard snodgrass acm sigmod record|65|64|68|14|9|5|0.5555555555555556|0.35714285714285715
0|665|2019|2003|2003|watermarking relational data framework algorithms and analysis vldb peter haas rakesh agrawal jerry kiernan|system for watermarking relational databases rakesh agrawal peter haas jerry kiernan international conference management data|55|67|61|15|19|10|0.6666666666666666|0.5263157894736842
0|1469|2154|2001|"2002|2003"|report the fourth international conference flexible query answering systems gabriella pasi amihai motro patrick bosc sigmod record|report fqas fifth international conference flexible query answering systems acm sigmod record amihai motro troels andreasen|77|78|78|18|17|12|0.7058823529411765|0.6666666666666666
1|40|1558|1995|1995|why decision support fails and how fix sigmod record kevin strehlo ralph kimball|why decision support fails and how fix ralph kimball kevin strehlo acm sigmod record|75|98|77|15|16|15|1.0|0.9375
0|2386|1848|1995|1997|data extraction and transformation for the data warehouse cass squire sigmod conference|data warehousing and olap for decision support surajit chaudhuri umeshwar dayal international conference management data|47|57|47|11|16|4|0.36363636363636365|0.25
